T_K,species,composition_ref,source,anchor_class,log10P_anchor,log10P_model,residual,status,model_side,note
2125.0,SiO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-5.68111,-4.90969,0.771416,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2125.0,Fe,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-5.46486,-4.97788,0.486984,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2125.0,FeO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-5.77554,-5.34068,0.434859,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2125.0,Mg,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-7.04347,-6.46594,0.577528,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2125.0,O2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-3.88065,-3.88064,1.07083e-05,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2125.0,SiO2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-6.34919,-6.06236,0.286826,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2200.0,Na,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-3.0175,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2200.0,K,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-3.85437,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2200.0,SiO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-4.40861,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2200.0,Fe,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-4.60451,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2200.0,FeO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-4.97071,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2200.0,Mg,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-6.02114,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2200.0,O2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-3.59904,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
2200.0,SiO2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx (no printed cell at this T),model_model_MAGMA,,-5.58502,,ungateable,live_VapoRock_JANAF_fO2=MAGMA_O2,No MAGMA printed T cell — not used as published-table anchor
