sheet,T_K,species,class,log10P_workbook,log10P_shadow,envelope_status,gas_channel_in_domain,refusal_code
aba,1500,Mg,EXTRAPOLATED-INFORMATIONAL,-12.165949780954962,-12.679871525668398,inside,False,
aba,1500,SiO,EXTRAPOLATED-INFORMATIONAL,-12.368780742137458,-11.890214992906303,inside,False,
aba,1500,SiO2,EXTRAPOLATED-INFORMATIONAL,-12.259574539748968,-12.525731159721765,inside,False,
aba,1500,Fe,EXTRAPOLATED-INFORMATIONAL,-10.361592917338326,-10.440016275495038,inside,False,
aba,1500,FeO,EXTRAPOLATED-INFORMATIONAL,-10.273986744890623,-10.569992889136447,inside,False,
aba,1500,Na,K-NA-INFORMATIONAL,-6.3451212586777714,-7.3794900485646018,inside,True,
aba,1500,K,K-NA-INFORMATIONAL,-7.3515006467639878,-9.8268488933859306,inside,True,
aba,1625,O2,UNGATEABLE,-6.0303357906567356,-6.0304249752087316,inside,,
aba,1625,Mg,EXTRAPOLATED-INFORMATIONAL,-10.719599663122857,-11.040814956700624,inside,False,
aba,1625,SiO,EXTRAPOLATED-INFORMATIONAL,-10.759262348719211,-10.226487411572956,inside,False,
aba,1625,SiO2,EXTRAPOLATED-INFORMATIONAL,-10.810107020680984,-10.957108870155574,inside,False,
aba,1625,Fe,EXTRAPOLATED-INFORMATIONAL,-9.123655527898503,-9.1038488897623626,inside,False,
aba,1625,FeO,EXTRAPOLATED-INFORMATIONAL,-9.0969770623942079,-9.2495303367112047,inside,False,
aba,1625,Na,K-NA-INFORMATIONAL,-5.4673068850486004,-6.5172645036916519,inside,True,
aba,1625,K,K-NA-INFORMATIONAL,-6.4475216011034879,-8.9357328311112205,inside,True,
aba,1750,O2,UNGATEABLE,-5.2780435456655237,-5.277919387154185,inside,,
aba,1750,Mg,FAIL,-9.4872465169742934,-9.6574631595275271,inside,False,
aba,1750,SiO,FAIL,-9.3640799662360035,-8.8063518596060053,inside,False,
aba,1750,SiO2,FAIL,-9.5524443060072226,-9.6171483214986893,inside,False,
aba,1750,Fe,FAIL,-8.0640356053164908,-7.9681128095190843,inside,False,
aba,1750,FeO,FAIL,-8.0899142621205336,-8.1283829459750265,inside,False,
aba,1750,Na,K-NA-INFORMATIONAL,-4.7130762527128756,-5.7833389120774346,inside,True,
aba,1750,K,K-NA-INFORMATIONAL,-5.6873693260994216,-8.1709307447542052,inside,True,
aba,1875,O2,UNGATEABLE,-4.6274206541158449,-4.6274168029115046,inside,,
aba,1875,Mg,FAIL,-8.4259805452428456,-8.4778733713601184,inside,False,
aba,1875,SiO,FAIL,-8.1422140835674579,-7.5797275628374088,inside,False,
aba,1875,SiO2,PASS,-8.4504441616286741,-8.4595385903933682,inside,False,
aba,1875,Fe,FAIL,-7.147135106600838,-6.9921032649303676,inside,False,
aba,1875,FeO,FAIL,-7.2192451567773759,-7.1667254372439064,inside,False,
aba,1875,Na,K-NA-INFORMATIONAL,-4.0584339113164098,-5.1494449312327877,inside,True,
aba,1875,K,K-NA-INFORMATIONAL,-5.0401965886697839,-7.5096114358396688,inside,True,
aba,1900,O2,UNGATEABLE,-4.5078360231544057,-4.5078631225661283,inside,,
aba,1900,Mg,FAIL,-8.2312128436899243,-8.2627816160531378,inside,False,
aba,1900,SiO,FAIL,-7.9157351674520182,-7.3541718541366423,inside,False,
aba,1900,SiO2,PASS,-8.2461791017190986,-8.2466887966142615,inside,False,
aba,1900,Fe,FAIL,-6.9784005897463324,-6.8132618142082748,inside,False,
aba,1900,FeO,FAIL,-7.0591603051170715,-6.9907688855014447,inside,False,
aba,1900,Na,K-NA-INFORMATIONAL,-3.9378468817486416,-5.0327918652793091,inside,True,
aba,1900,K,K-NA-INFORMATIONAL,-4.9221744187643859,-7.3870674021966849,inside,True,
aba,2000,O2,UNGATEABLE,-4.0605334649455571,-4.060615689698345,inside,,
aba,2000,Mg,FAIL,-7.502835979145333,-7.4628295231913935,inside,False,
aba,2000,SiO,FAIL,-7.0622749397582076,-6.5093907191230107,inside,True,
aba,2000,SiO2,FAIL,-7.4765914781319687,-7.4496574170878969,inside,False,
aba,2000,Fe,FAIL,-6.3461214035006961,-6.1454903637636757,inside,False,
aba,2000,FeO,FAIL,-6.4598879771941045,-6.3346802825784669,inside,False,
aba,2000,Na,K-NA-INFORMATIONAL,-3.4860205220923146,-4.5954838066996455,inside,True,
aba,2000,K,K-NA-INFORMATIONAL,-4.4828413288867903,-6.9268830565601798,inside,True,
aba,2125,O2,UNGATEABLE,-3.5634887846352319,-3.5634701199570671,inside,,
aba,2125,Mg,FAIL,-6.6923178757530524,-6.5819867218394421,inside,False,
aba,2125,SiO,FAIL,-6.1001631981614413,-5.567035459301203,inside,True,
aba,2125,SiO2,FAIL,-6.6096604257008664,-6.5611617579734052,inside,False,
aba,2125,Fe,FAIL,-5.6402623871814859,-5.4048737188592222,inside,False,
aba,2125,FeO,FAIL,-5.792359439987437,-5.6091795051372451,inside,False,
